Id,SQUARE_METERS,METRO_DISTANCE,PRICE
601,28,677,7328400
602,54,120,9754600
603,43,1344,6781500
604,33,1003,6784100
605,30,591,7296200
606,45,719,8121900
607,55,406,8889400
608,63,216,9819000
609,27,2497,3924500
610,63,431,9642200
611,39,1875,5588400
612,60,646,9106000
613,15,593,6862200
614,49,709,7867600
615,33,1913,5432000
616,15,461,6799300
617,42,1084,6914100
618,42,1372,6973200
619,67,1759,7773000
620,40,344,8432000
621,31,111,8149900
622,30,1580,5978100
623,56,1791,6878200
624,29,1216,6244600
625,21,1821,4667800
626,56,2478,6193600
627,64,2147,6401700
628,33,2074,5404100
629,56,109,9277800
630,57,731,8479800
631,19,902,6154300
632,70,1778,7660500
633,36,824,7291400
634,17,752,6353700
635,62,1772,7417400
636,37,1548,6094400
637,53,686,8138500
638,54,1284,7318500
639,15,1396,5082700
640,52,1381,6966600
641,21,2310,3943700
642,17,1527,5395500
643,53,1916,6075900
644,62,1927,7342000
645,46,1259,7491000
646,23,154,7512400
647,61,2156,7024700
648,59,2190,6194400
649,48,2488,5091700
650,23,735,6421300
651,12,856,5771000
652,27,205,7581400
653,13,2493,3480700
654,44,1167,7603900
655,57,953,8320400
656,39,1220,6812800
657,56,390,9052300
658,13,2298,3494500
659,58,393,9099000
660,16,1166,5534100
661,62,1230,8155100
662,30,820,6604100
663,32,904,6973700
664,54,1923,6821700
665,37,108,8476400
666,68,863,9040200
667,19,2002,4391600
668,64,2149,7050500
669,60,2250,6376100
670,56,1626,7077500
671,38,517,8159100
672,51,2400,5390100
673,19,2440,3630800
674,56,814,8795000
675,27,2488,4255100
676,21,2182,3813000
677,25,1768,5115400
678,35,1156,7109300
679,22,1026,5955000
680,28,1397,5519200
681,57,236,9594200
682,21,1407,5356300
683,64,690,9605000
684,41,1874,5855400
685,62,513,8910100
686,35,550,7345700
687,33,1933,5208600
688,61,1871,6638200
689,15,1619,4932500
690,36,1614,5695500
691,67,1133,8716000
692,22,424,6948000
693,44,800,7995000
694,54,527,8634800
695,60,842,8989500
696,28,2073,4826700
697,63,2120,6800800
698,33,1411,6517500
699,47,1715,6812100
700,31,1785,5583200